id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
991122828853497856,https://twitter.com/julietrinh13/status/991122828853497856,Tue May 01 01:11:11 +0000 2018,2018-05-01 01:11:11+00:00,julietrinh13,RT @larainnepasion: Logging in to tell you all that “Crazy Rich Asians is the Asian Black Panther” is an awful take. Not only does CRA not…,retweet,,,,,0,,,,en,,,8,989279218142994433,larainnepasion,49320776,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3069975458,Mon Mar 09 15:20:26 +0000 2015,False,professional account for DS,298,0,1,0,"Manhattan, NY",Julie,30,,,False
990787549768683520,https://twitter.com/Iuvjinki/status/990787549768683520,Mon Apr 30 02:58:54 +0000 2018,2018-04-30 02:58:54+00:00,Iuvjinki,who THE FUCK be saying crazy rich asians is the asian black panther i am . disgusted https://t.co/5EJEJDZjIL,quote,,,,https://twitter.com/ajrafael/status/989242778445004800,0,,,,en,,False,0,989242778445004800,ajRAFAEL,18657864,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3431592495,Wed Aug 19 15:41:39 +0000 2015,False,"[+26, -0] Sungwoon’s double eyelids... I just want to get sandwiched in between them...",22114,926,114,16,,ً,38321,Pacific Time (US & Canada),,False
990294613410758656,https://twitter.com/GothDeja/status/990294613410758656,Sat Apr 28 18:20:09 +0000 2018,2018-04-28 18:20:09+00:00,GothDeja,"RT @SourceDuMal: Folks talmbout ""Crazy Rich Asians is the Asian Black Panther"" like this story wasn't told already in Boys over Flowers, on…",retweet,,,,,0,,,,en,,,2,990225844873330689,SourceDuMal,1217524549,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2821140798,Sat Sep 20 06:13:14 +0000 2014,False,"Gothic Blacktivist with a morbid sense of humor. Afropunk 4 life. |She/Her| |They/Them| Bi/Pan
Vaas Montenegro's Baby Mama.",96054,499,919,18,Cali. ,That Vegan Coke,83351,,,False
990226612535877632,https://twitter.com/SerendipityX6/status/990226612535877632,Sat Apr 28 13:49:56 +0000 2018,2018-04-28 13:49:56+00:00,SerendipityX6,"RT @SourceDuMal: Folks talmbout ""Crazy Rich Asians is the Asian Black Panther"" like this story wasn't told already in Boys over Flowers, on…",retweet,,,,,0,,,,en,,,2,990225844873330689,SourceDuMal,1217524549,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2819222748,Fri Sep 19 04:53:12 +0000 2014,False,"Everything was Sesshomaru.I write fanfiction for fun and for the teh bishies~ I draw sometimes too.",139381,695,1280,54,Howl's Moving Castle,Camus Queen,118688,,https://www.quotev.com/Serendipityx6,False
990225844873330689,https://twitter.com/SourceDuMal/status/990225844873330689,Sat Apr 28 13:46:53 +0000 2018,2018-04-28 13:46:53+00:00,SourceDuMal,"Folks talmbout ""Crazy Rich Asians is the Asian Black Panther"" like this story wasn't told already in Boys over Flowers, only they ain't in high school...",original,,,,,6,,,,en,,,2,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1217524549,Mon Feb 25 06:59:38 +0000 2013,False,Fat. Black. Cishet. Nerd. A Snack. Wrestling fan. Black feminist. 5k runner. Kickboxer.  Twitch Affiliate. Ya MCMs favorite healer main. She/Her.,1100,3387,520,112,"Chicago, IL",B▲K: Thotty Phi Chapter,64195,,https://www.twitch.tv/sourcedumal,False
989508651441324033,https://twitter.com/heartswakes/status/989508651441324033,Thu Apr 26 14:17:01 +0000 2018,2018-04-26 14:17:01+00:00,heartswakes,RT @larainnepasion: Logging in to tell you all that “Crazy Rich Asians is the Asian Black Panther” is an awful take. Not only does CRA not…,retweet,,,,,0,,,,en,,,8,989279218142994433,larainnepasion,49320776,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",509289268,Wed Feb 29 21:44:09 +0000 2012,False,✨ I really care about basic human rights ✨ 19 ✨ psych major ✨,1853,145,376,2,"New York, USA",☆Michelle☆,121,Pacific Time (US & Canada),,False
989499593737064448,https://twitter.com/symmetricshapes/status/989499593737064448,Thu Apr 26 13:41:01 +0000 2018,2018-04-26 13:41:01+00:00,symmetricshapes,"I haven't seen Black Panther, but I think I get the gist of it, so please don't say Crazy Rich Asians is the Asian Black Panther. It's a movie with an all Asian cast.",original,,,,,0,,,,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",620286231,Wed Jun 27 17:56:11 +0000 2012,False,fuck me in the PJ pants,2618,23,41,2,,spacesuits &,32332,Eastern Time (US & Canada),,False
989390514389577729,https://twitter.com/WellsLucasSanto/status/989390514389577729,Thu Apr 26 06:27:35 +0000 2018,2018-04-26 06:27:35+00:00,WellsLucasSanto,RT @larainnepasion: Logging in to tell you all that “Crazy Rich Asians is the Asian Black Panther” is an awful take. Not only does CRA not…,retweet,,,,,0,,,,en,,,8,989279218142994433,larainnepasion,49320776,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",161051718,Tue Jun 29 21:27:45 +0000 2010,False,Researcher on social implications of AI. Education Manager @AI4ALLorg. Pan & Genderqueer. AAPI Activist. Talk to me about queer+POC representation & equity.,19571,645,357,44,oakland & brooklyn. lost in fleeting phenomena.,wells lucas santo | blue hair oakland boy,30034,Pacific Time (US & Canada),http://www.wellssanto.com,False
989386474004058112,https://twitter.com/JS247/status/989386474004058112,Thu Apr 26 06:11:31 +0000 2018,2018-04-26 06:11:31+00:00,JS247,Crazy rich Asians is the Asian Black Panther 🤨🤨🤨 #youwentfullretard,original,,youwentfullretard,,,0,,,,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",26488964,Wed Mar 25 12:49:35 +0000 2009,False,life under construction.,780,1266,1440,33,Currently Hong Kong,Joel Symmons,14311,London,http://www.facebook.com/joel.symmons,False
989382017367269376,https://twitter.com/EriKagamiSews/status/989382017367269376,Thu Apr 26 05:53:49 +0000 2018,2018-04-26 05:53:49+00:00,EriKagamiSews,RT @larainnepasion: Logging in to tell you all that “Crazy Rich Asians is the Asian Black Panther” is an awful take. Not only does CRA not…,retweet,,,,,0,,,,en,,,8,989279218142994433,larainnepasion,49320776,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3041603013,Mon Feb 16 23:40:11 +0000 2015,False,"@ScarletRhapsody EoC, Retro Dames writer, Sewing is Therapy, Published Pinup, Award Winning Cosplayer, Disneybound Addict, Singing Showtunes, Idol Trash",6854,116,296,10,Where The Wallflowers At,Kagami @ ComicConRev,4870,,http://scarlet-rhapsody.com/,False
